Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,Value
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.01
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.06
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.1
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.2
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.24
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.27
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.36
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.43
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.48
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.78
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.88
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.89
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.97
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.99
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.04
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.1
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.2
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.25
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.31
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.39
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.44
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.53
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.69
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.66
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.73
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.81
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.82
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.9
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.96
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.04
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.12
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.18
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.29
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.83
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.91
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.91
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.95
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.03
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.06
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.1
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.2
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.3
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.38
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.41
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.47
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.82
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.86
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.99
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.9
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.94
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.96
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.0
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.05
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.1
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.14
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.17
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពត,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.24
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.77
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.83
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.87
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.92
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.93
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,0.99
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.0
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.1
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កណ្តាល,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,2019-2020,1.18
